Chemical formula,Synonyms,CAS number
KCNO,potassium cyanate,590-28-3
KCNO,potassium fulminate,15736-99-9
KCNS,potassium thiocyanate,333–20–0
KCl,potassium chloride,7447–40–7
KClO,potassium hypochlorite,7778–66–7
KClO2,potassium chlorite,14314–27–3
KClO3,potassium chlorate,3811–04–9
KClO4,potassium perchlorate,7778–74–7
K2CrO4,potassium chromate,7789–00–6
K2Cr2O7,potassium dichromate,7778–50–9
K2HAsO4,dipotassium hydrogen arsenate,
K2HPO3,dipotassium phosphite,
K2HPO4,dipotassium phosphate,7758–11–4
K3AsO4,potassium arsenate,13464–36–3
K3C6H5O7,potassium citrate,866–84–2
K3PO3,tripotassium phosphite,
K3PO4,tripotassium phosphate,7778–53–2
KF,potassium fluoride,13455–21–1
KOF,potassium hypofluorite,
KH,potassium hydride,7693-26-7
KHCO3,potassium bicarbonate,298–14–6
KHS,potassium hydrosulfide,1310-61-8
KHSO3,potassium bisulfite,7773–03–7
KHSO4,potassium bisulfate,7646–93–7
KH2PO3,monopotassium phosphite,
KH2PO4,monopotassium phosphate,
KI,potassium iodide,7681–11–0
KIO,potassium hypoiodite,
KIO2,potassium iodite,
KIO3,potassium iodate,7758-05-6
KIO4,potassium periodate,7790–21–8
KMnO4,potassium permanganate,7722–64–7
KNO3,potassium nitrate,7757–79–1
KNO2,potassium nitrite,7758–09–0
K2CO3,potassium carbonate,584–08–7
K2MnO4,potassium manganate,10294–64–1
K2N2O2,potassium hyponitrite,
KNbO3,potassium niobate,12030–85–2
K2O,potassium oxide,12136–45–7
K2O2,potassium peroxide,17014–71–0
K2S,potassium sulfide,1312–73–8
K2S2O3,potassium thiosulfate,10294–66–3
K2S2O5,potassium metabisulfite,16731–55–8
K2S2O8,potassium persulfate,7727–21–1
K2SO3,potassium sulfite,16731–55–8
K2SO4,potassium sulfate,7778–80–5
KOH,potassium hydroxide/caustic potash,1310–58–3
LaBr3,lanthanum(III) bromide,13536-79-3
LaCl3,lanthanum(III) chloride,10099–58–8
LaI3,lanthanum(III) iodide,13813-22-4
La2O3,lanthanum(III) oxide,1312-81-8
La(OH)3,lanthanum hydroxide,14507-19-8
LaPO4,lanthanum(III) phosphate,14913–14–5
LaPO4·0.5H2O,lanthanum(III) phosphate crystal hemihydrate,
LiAlH4,lithium aluminium hydride,16853-85-3
Li(AlSi2O6),keatite,
C6H7LiO6,lithium ascorbate,80781-74-4
LiBH4,lithium borohydride,16949-15-8
LiBr,lithium bromide,7550–35–8
LiBr·2H2O,lithium bromide dihydrate,
LiBrO,lithium hypobromite,
LiBrO2,lithium bromite,
LiBrO3,lithium bromate,13550–28–2
LiBrO4,lithium perbromate,
LiCl,lithium chloride,7447–41–8
LiClO,lithium hypochlorite,13840–33–0
LiClO2,lithium chlorite,
LiClO3,lithium chlorate,13453–71–9
LiClO4,lithium perchlorate,7791–03–9
LiCN,lithium cyanide,2408–36–8
LiCNO,lithium cyanate,2363-79-3
LiC2H5O,lithium ethoxide,2388–07–0
LiF,lithium fluoride,7789–24–4
LiH,lithium hydride,7580-67-8
LiHCO3,lithium bicarbonate,5006–97–3
LiHS,lithium hydrosulfide,
LiHSO3,lithium bisulfite,
LiHSO4,lithium hydrogen sulfate,13453–86–6
LiH2AsO4,lithium dihydrogen arsenate,
LiH2PO3,monolithium phosphite,
LiH2PO4,monolithium phosphate,
LiI,lithium iodide,10377–51–2
LiIO,lithium hypoiodite,
LiIO2,lithium iodite,
LiIO3,lithium iodate,13765–03–2
LiIO4,lithium periodate,21111-84-2
LiNa,lithium sodium,
LiNaNO2,lithium sodium nitroxylate,
LiNbO3,lithium niobate,12031-63-9
LiNO2,lithium nitrite,13568–33–7
LiNO3,lithium nitrate,7790–69–4
LiNO3·H2O,lithium nitrate monohydrate,
LiOH,lithium hydroxide,1310–65–2
LiTaO3,lithium tantalate lithium metatantalate,12031–66–2
LiVO3·2H2O,lithium metavanadate dihydrate,
Li2HAsO4,dilithium hydrogen arsenate,
Li2B4O7·5H2O,lithium tetraborate pentahydrate,1303–94–2
Li2CO3,lithium carbonate,554–13–2
Li2CrO4,lithium chromate,14307–35–8
Li2CrO4·2H2O,lithium chromate dihydrate,7789–01–7
Li2Cr2O7,lithium dichromate,13843–81–7
Li2HPO3,dilithium phosphite,
Li2HPO4,dilithium phosphate,
Li2MoO4,lithium molybdate,13568–40–6
Li2MoO4,lithium orthomolybdate,13568–40–6
Li2NbO3,lithium metaniobate,12031–63–9
Li2N2O2,lithium hyponitrite,
Li2O,lithium oxide,12057–24–8
Li2O2,lithium peroxide,12031–80–0
Li2S,lithium sulfide,12136–58–2
Li2SO3,lithium sulfite,13453–87–7
Li2SO4,lithium sulfate,10377–48–7
Li2SeO3,lithium selenite,15593–51–8
Li2SeO4,lithium selenate,15593–52–9
Li2SiO3,lithium metasilicate,10102–24–6
Li2SiO3,lithium orthosilicate,63985–45–5
Li2TeO3,lithium tellurite,14929–69–2
Li2TeO4,lithium tellurate,15851–53–3
Li2TiO3,lithium titanate,12031–82–2
Li2TiO3,lithium metatitanate,12031–82–2
Li2WO4,lithium tungstate,13568–45–1
Li2WO4,lithium orthotungstate,13568–45–1
Li2ZrO3,lithium metazirconate,
Li3AsO4,trilithium arsenate,
Li3PO3,trilithium phosphite,
Li3PO4,trilithium phosphate,
,,
MgBr2,magnesium bromide,7789–48–2
Mg(BrO)2,magnesium hypobromite,
Mg(BrO2)2,magnesium bromite,
Mg(BrO3)2,magnesium bromate,
Mg(BrO4)2,magnesium perbromate,
Mg(AlO2)2,magnesium aluminate,12068–51–8
As2Mg3,magnesium arsenide,12044–49–4
MgCO3,magnesium carbonate magnesite,546–93–0
MgC2O4,magnesium oxalate,547–66–0
Mg(ClO)2,magnesium hypochlorite,10233–03–1
Mg(ClO2)2,magnesium chlorite,
Mg(ClO3)2,magnesium chlorate,10326–21–3
Mg(ClO3)2·xH2O,magnesium chlorate hydrate,
Mg(ClO4)2,magnesium perchlorate,10034–81–8
MgCl2,magnesium chloride,7786–30–3
MgCrO4,magnesium chromate,13423–61–5
MgCrO4·5H2O,magnesium chromate pentahydrate,
MgF2,magnesium fluoride,7783–40–6
MgHPO4,dimagnesium phosphate,7757-86-0
MgI2,magnesium iodide,10377–58–9
Mg(IO)2,magnesium hypoiodite,
Mg(IO2)2,magnesium iodite,
Mg(IO3)2,magnesium iodate,
Mg(IO4)2,magnesium periodate,
MgMoO4,magnesium molybdate,13767–03–8
MgNH4PO4·6H2O,magnesium ammonium phosphate hexahydrate,15490–91–2
Mg(NO2)2,magnesium nitrite,
Mg(NO3)2,magnesium nitrate,10377–60–3
Mg(NO3)2·6H2O,magnesium nitrate hexahydrate,13446–18–9
MgNaAl5(Si4O10)3(OH)6,montmorillonite (clay),1318–93–0
MgO,magnesium oxide magnesia periclase,1309–48–4
Mg(OH)2,magnesium hydroxide milk of magnesia,1309–42–8
MgPo,magnesium polonide,
MgS,magnesium sulfide,12032–36–9
MgSO3,magnesium sulfite,7757–88–2
MgSO4,magnesium sulfate,7487–88–9
MgSe,magnesium selenide,1313–04–8
MgSeO3,magnesium selenite,15593–61–0
MgSeO4,magnesium selenate,14986–91–5
MgSiO3,magnesium metasilicate enstatite,13776–74–4
MgTiO3,magnesium metatitanate,12032–30–3
Mg(VO3)2,magnesium metavanadate,
MgWO4,magnesium tungstate,13573–11–0
Mg2Al(AlSiO5)(OH)4,amesite,
Mg2P2O7,magnesium pyrophosphate,13446–24–7
Mg2SiO4,forsterite,10034–94–3
Mg3As2,magnesium arsenide,12044–49–4
Mg3Bi2,magnesium bismuthide,12048–46–3
Mg3P2,magnesium phosphide,12057–74–8
Mg3(Si2O5)(OH)4,chrysotile,12001–29–5
Mg3(Si4O10)(OH)2,talc,14807–96–6
Mg3(VO4)2,magnesium orthovanadate,
MnAs,manganese(III) arsenide,
MnBi,manganese(III) bismuthide,
MnBr2,manganese(II) bromide,13446–03–2
MnBr2·4H2O,manganese(II) bromide tetrahydrate,10031–20–6
Mn(CHO2)2,manganese(II) formate,3251–96–5
Mn(CHO2)2·2H2O,manganese(II) formate dihydrate,4247–36–3
MnCO3,manganese(II) carbonate,598–62–9
MnCl2,manganese(II) chloride,7773–01–5
MnF2,manganese(II) fluoride,7782–64–1
MnI2,manganese(II) iodide,7790–33–2
MnMoO4,manganese(II) orthomolybdate,
Mn(NO3)2,manganese(II) nitrate,10377–66–9
Mn(NO3)2·4H2O,manganese(II) nitrate tetrahydrate,20694–39–7
MnO,manganese(II) oxide,1344–43–0
Mn(OH)2,manganese hydroxide,1310–97–0
MnOOH,manganite,1310–98–1
MnO2,manganese dioxide pyrolusite,1313–13–9
MnO4−,permanganate ion,14333–13–2
MnPb8(Si2O7)3,barysilate,
MnS,manganese sulfide,18820–29–6
MnTe,manganese(II) telluride,12032–88–1
MnZrO3,manganese(II) metazirconate,
Mn2O3,manganese(III) oxide,1317–34–6
Mn3As2,manganese(II) arsenide,
Mn3O4,"manganese(II,III) oxide trimanganese tetroxide hausmannite",1317–35–7
Mn3P2,manganese(II) phosphide,
Mn3Sb2,manganese(II) antimonide,
MoBr2,molybdenum(II) bromide,13446–56–5
MoBr3,molybdenum(III) bromide,13446–57–6
MoCl2,molybdenum(II) chloride,13478–17–6
MoCl3,molybdenum(III) chloride,13478–18–7
MoCl5,molybdenum(V) chloride,10241–05–1
MoO2,molybdenum(IV) oxide,18868–43–4
MoO3,Molybdenum trioxide,1313–27–5
MoO42−,molybdate ion,14259–85–9
MoSe2,molybdenum(IV) selenide,12058–18–3
MoS2,molybdenum sulfide molybdenum disulfide molybdenite,1317–33–5
,,
NCl3,nitrogen trichloride,10025–85–1
NHCl2,dichloramine,3400-09-7
NH2Cl,monochloramine,10599-90-3
NH2−,amide ion,17655–31–1
NH2CH2CH2NH2,ethylenediamine,107–15–3
NH2CH2CN,aminoacetonitrile,540-61-4
NH2COOH,carbamic acid,463-77-4
NH2CONH2,urea,57–13–6
NH2C6H4SO3H,sulfanilic Acid,121–57–3
NH2OH,hydroxylamine,7803–49–8
(NH2)2CO,urea,57–13–6
(NH2)2CO·HClO4,urea perchlorate,18727-07-6
NH3,ammonia,7664–41–7
NH4+,ammonium ion,14798–03–9
(NH4)3N,ammonium nitride,
NH4Br,ammonium bromide,12124–97–9
NH4CO2NH2,ammonium carbamate,1111–78–0
(NH4)2CO3,ammonium carbonate,506–87–6
NH4Cl,ammonium chloride,12125–02–9
NH4ClO4,Ammonium perchlorate,7790–98–9
NH4HS,ammonium hydrosulfide,12124–99–1
(NH4)H2AsO4,ammonium dihydrogen arsenate,13462–93–6
NH4NO3,ammonium nitrate,6484–52–2
NH4OCONH2,ammonium carbamate,1111–78–0
NH4OH,ammonium hydroxide,1336-21-6
(NH4)2Ce(NO3)6,ammonium cerium(IV) nitrate ceric ammonium nitrate CAN,16774–21–3
(NH4)3PO4,ammonium phosphate,7783–28–0
(NH4)2CrO4,ammonium chromate,7788–98–9
(NH4)2Hg(SCN)4,mercury(II) ammonium thiocyanate,
(NH4)2[PtCl6],ammonium hexachloroplatinate(IV),16919–58–7
(NH4)2[Pt(SCN)6],ammonium hexathiocyanoplatinate(IV),19372–45–3
(NH4)2SO4,ammonium sulfate,7783–20–2
NI3,nitrogen triiodide,13444–85–4
NO,nitric oxide nitrogen oxide nitrogen(II) oxide,10102–43–9
NOCl,nitrosyl chloride,2696-92-6
NOBr,nitrosyl bromide,13444-87-6
NOI,nitrosyl iodide,
NO2,nitrogen dioxide nitrogen(IV) oxide,10102–44–0
NO2−,nitrite ion,14797–65–0
NO2Cl,nitryl chloride,13444–90–1
NO3−,nitrate ion,14797–55–8
NO4-,peroxynitrate ion,
N2,nitrogen,7727–37–9
N2H2,diazene,3618–05–1
N2H4,hydrazine,302–01–2
N2O,nitrous oxide dinitrogen oxide nitrogen(I) oxide,10024–97–2
N2O3,dinitrogen trioxide nitrogen(III) oxide,10544–73–7
N2O4,dinitrogen tetroxide nitrogen(IV) oxide,10544–72–6
N2O5,dinitrogen pentaoxide nitrogen(V) oxide,10102–03–1
N3−,azide,14343-69-2
N4H4,trans-tetrazene,54410–57–0
NaAlSi3O3,albite,
NaAsO2,sodium metaarsenite,7784–46–5
NaH2AsO4,sodium dihydrogen arsenate,10103-60-3
NaAu(CN)2,sodium dicyanoaurate(I),15280–09–8
Na2Cr2O7 · 2H2O,Sodium dichromate dihydrate,10588–01–9
Na[B(NO3)4],sodium tetranitratoborate(III),
NaBr,sodium bromide,7647–15–6
NaBrO,sodium hypobromite,13824-96-9
NaBrO2,sodium bromite,7486-26-2
NaBrO3,sodium bromate,7789-38-0
NaBrO4,sodium perbromate,33497-30-2
NaCN,sodium cyanide,143–33–9
NaCNO,sodium fulminate,15736-98-8
NaC6F5COO,pentafluorobenzoate,
NaC6H5COO,sodium benzoate,532–32–1
NaC6H7O7,monosodium citrate,18996–35–5
NaCa2(Al5Si5O20) · 6H2O,thomsonite,
NaCl,sodium chloride rock-salt halite,7647–14–5
NaClO2,sodium chlorite,7758–19–2
NaClO3,sodium chlorate,7775–09–9
NaClO4,sodium perchlorate,7601–89–0
NaF,sodium fluoride,7681–49–4
NaOF,sodium hypofluorite,
NaH,sodium hydride,7646–69–7
NaHCOO,sodium formate,141–53–7
NaHCO3,sodium bicarbonate baking soda,144–55–8
NaHS,sodium hydrosulfide,
NaHSO3,sodium bisulfite,7631–90–5
NaHSO4,sodium bisulfate,7681–38–1
NaH2PO3,monosodium phosphite,
NaH2PO4,monosodium phosphate,
NaI,sodium iodide,7681–82–5
NaIO,sodium hypoiodite,
NaIO2,sodium iodite,
NaIO3,sodium iodate,
NaIO4,sodium periodate,
NaNH2C6H4SO3,sodium sulfanilate,515–74–2
NaNO2,sodium nitrite,7632–00–0
NaNO3,sodium nitrate,7631–99–4
NaNbO3,sodium metaniobate,
NaNbO3 · 7H2O,sodium metaniobate heptahydrate,
NaOCl,sodium hypochlorite,7681–52–9
NaOCN,sodium cyanate,917-61-3
NaOH,sodium hydroxide,1310–73–2
NaO2As(CH3)2 · 3H2O,sodium salt of cacodylic acid,124–65–2
NaSeO3,sodium selenite,
NaTaO3,sodium metatantalate,
NaVO3,sodium metavanadate,13718–26–8
Na2CO3,sodium carbonate soda ash,497–19–8
Na2C2O4,sodium oxalate,62–76–0
Na2C6H6O7,disodium citrate,144–33–2
Na2HAsO4,disodium hydrogen arsenate,
Na2HPO3,disodium phosphite,
Na2HPO4,disodium phosphate,
Na2MoS4,sodium thiomolybdate,18198–15–7
Na2N2O2,sodium hyponitrite,
Na2O2,sodium peroxide,1313–60–6
Na2O,sodium oxide,1313–59–3
Na2S,sodium monosulfide,1313–82–2
Na2SO3,sodium sulfite,7757–83–7
Na2SO4,sodium sulfate salt cake,7757–82–6
Na2S2O3,sodium thiosulfate,7772–98–7
Na2S2O5,sodium disulfite,7681–57–4
Na2S2O8,sodium persulfate,7775–27–1
Na2S4,sodium tetrasulfide,12034–39–8
Na2SeO3,sodium selenite,10102–18–8
Na2SeO4,sodium selenate,13410–01–0
Na2TeO3,sodium tellurite,10102–20–2
Na2TeO4,sodium tellurate,
Na2TiO3,sodium metatitanate,
Na2U2O7,Sodium Diurinate,13721-34-1
Na2Zn(OH)4,sodium zincate,12179–14–5
Na2ZnO2,sodium zincate,37224–32–1
Na2ZrO3,sodium metazirconate,
Na3AlF6,cryolite,15096–52–3
Na3AsO4,sodium arsenate,
Na3[Co(CO3)3],sodium tricarbonatocobaltate(III),
Na3VO4,sodium orthovanadate,13721–39–6
Na3C6H5O7,trisodium citrate,
Na3PO3,trisodium phosphite,
Na3PO4,trisodium phosphate,
Na4V2O7,sodium pyrovanadate,13517–26–5
NbBr5,niobium(V) bromide,13478–45–0
NbCl3,niobium(III) chloride,13569–59–0
NbCl5,niobium(V) chloride,10026–12–7
NbI5,niobium(V) iodide,13779–92–5
Nb2O3,niobium(III) oxide,
NdAsO4,Neodymium arsenate,
Nd(CH3COO)3,neodymium acetate,6192–13–8
NdCl2,neodymium(II) chloride neodymium dichloride,25469–93–6
NdI2,neodymium(II) iodide neodymium diiodide,61393–36–0
NdI3,neodymium(III) iodide neodymium triiodide,13813–24–6
Nd(OH)3,neodymium hydroxide,16469–17–3
Nd2O3,neodymium(III) oxide dineodymium trioxide,1313–97–9
NiAs,nickel(III) arsenide,27016–75–7
NiAsS,nickel arsenic sulfide gersdorffite,12255–10–6
NiBr2,nickel(II) bromide,13462–88–9
NiBr2 · 3H2O,nickel(II) bromide trihydrate,7789–49–3
NiBr2 · 6H2O,nickel(II) bromide hexahydrate,
Ni(CO)3,nickel(II) carbonate,
Ni(CO)4,nickel tetracarbonyl,13463–39–3
NiC2O4 · 2H2O,nickel(II) oxalate dihydrate,6018–94–6
NiCl2,nickel(II) chloride,7718–54–9
NiFe2O4,nickel(II) iron(III) oxide,
NiI2,nickel(II) iodide,13462–90–3
Ni(H2PO)2 · 6H2O,nickel(II) hypophosphite hexahydrate,
NiMoO4,nickel(II) orthomolybdate,
Ni(NO3)2 · 6H2O,nickel(II) nitrate hexahydrate,13478–00–7
NiOOH,nickel oxo-hydroxide,
NiO,nickel(II) oxide,1313–99–1
Ni(OH)2,nickel(II) hydroxide,12054–48–7
NiS,nickel(II) sulfide millerite,16812–54–7
NiSO4,nickel sulfate,7786–81–4
NiS2,nickel sulfide,12035–51–7
NiSb,nickel antimonide,
NiSe,nickel(II) selenide,12201–85–3
NiTiO3,nickel(II) metatitanate,
Ni(VO3)2,nickel(II) metavanadate,
NiWO4,nickel(II) orthotungstate,
Ni2SiO4,nickel(II) orthosilicate,
Ni3(PO4)2,nickel(II) orthophosphate,14396–43–1
Ni3Sb2,nickel(II) antimonide,
,,
O,oxygen,7782–44–7
OV,vanadium(II) oxide,
O2,dioxygen,7782–44–7
O2−,superoxide ion,11062–77–4
O22−,peroxide ion,14915–07–2
OF2,oxygen difluoride,7783–41–7
O2F2,dioxygen difluoride,7783–44–0
O2Ti,titanium dioxide,
O2U,uranium oxide,
OH−,hydroxide ion,14280–30–9
O3,ozone,10028–15–6
O3−,ozonide ion,12596–80–4
O3U,uranium trioxide,
OPN,phosphoryl nitride,
PCl3,phosphorus trichloride,7719–12–2
PCl5,phosphorus pentachloride,10026–13–8
POCl3,phosphoryl chloride,10025–87–3
P2I4,diphosphorus tetraiodide,13455–00–0
P2O5,phosphorus pentoxide,1314–56–3
P2S3,diphosphorus trisulfide,12165–69–4
P2Se3,diphosphorus triselenide,1314–81–4
P3N5,triphosphorus pentanitride,12136–91–3
PH3,phosphine,7803–51–2
POCl3,phosphoryl chloride,10025–87–3
PbCl2,lead(II) chloride,7758–95–4
PbCl4,lead(IV) chloride,13463–30–4
PbHAsO4,lead hydrogen arsenate,7784–40–9
PbI2,lead(II) iodide,10101–63–0
Pb(IO3)2,lead(II) iodate,25659–31–8
Pb(N3)2,lead(II) nitride,
Pb(NO3)2,lead(II) nitrate,10099–74–8
Pb(OH)2,lead(II) hydroxide,19783–14–3
Pb(OH)4,lead(IV) hydroxide,
PbC2O4,lead oxalate,814–93–7
PbCO3,lead carbonate,598–63–0
PbCrO4,lead chromate,7758–97–6
PbF2,lead(II) fluoride,7783–46–2
PbO,lead(II) oxide,1317–36–8
PbO2,lead dioxide,1309–60–0
PbS,lead(II) sulfide,1314–87–0
PbSO4,lead(II) sulfate,7446–14–2
Pb2,diplumbyne,
PoBr2,polonium dibromide,66794–54–5
PoCl2,polonium dichloride,
PoCl4,polonium tetrachloride,10026–02–5
PoF6,polonium hexafluoride,35473–38–2
PoH2,polonium hydride,31060–73–8
PoO,polonium monoxide,
PoO2,polonium dioxide,7446–06–2
PoO3,polonium trioxide,
,,
RaCl2,radium chloride,10025–66–8
RbBr,rubidium bromide,7789–39–1
RbBrO,rubidium hypobromite,
RbBrO2,rubidium bromite,
RbBrO3,rubidium bromate,
RbBrO4,rubidium perbromate,
RbCl,rubidium chloride,7791–11–9
RbClO,rubidium hypochlorite,
RbClO2,rubidium chlorite,
RbClO3,rubidium chlorate,13446–71–4
RbClO4,rubidium perchlorate,13510–42–4
RbCN,rubidium cyanide,19073–56–4
RbCNO,rubidium cyanate,
RbCNO,rubidium fulminate,
RbF,rubidium fluoride,13446–74–7
RbH,rubidium hydride,
RbH2PO3,monorubidium phosphite,
RbH2PO4,monorubidium phosphate,
RbHS,rubidium hydrosulfide,
RbI,rubidium iodide,7790–29–6
RbIO,rubidium hypoiodite,
RbIO2,rubidium iodite,
RbIO3,rubidium iodate,
RbIO4,rubidium periodate,
RbOH,rubidium hydroxide,1310–82–3
Rb2O,rubidium oxide,18088–11–4
Rb2O2,rubidium peroxide,
Rb2CO3,rubidium carbonate,584–09–8
Rb2S,rubidium sulfide,
Rb2SO3,rubidium sulfite,
Rb2SO4,rubidium sulfate,7488–54–2
Rb2HPO3,dirubidium phosphite,
Rb2HPO4,dirubidium phosphate,
Rb3PO3,trirubidium phosphite,
Rb3PO4,trirubidium phosphate,
RbHCO3,rubidium bicarbonate,
RbHSO3,rubidium bisulfite,
RbHSO4,rubidium bisulfate,15587–72–1
RbNbO3,rubidium niobate,
RbNO2,rubidium nitrite,
RbNO3,rubidium nitrate,13126–12–0
RnF2,radon difluoride,
RuCl3,ruthenium(III) chloride,10049–08–8
RuF6,ruthenium hexafluoride,13693–08–8
RuO4,ruthenium tetroxide,20427–56–9
,,
SCN−,thiocyanate,302–04–5
SF4,sulfur tetrafluoride,7783–60–0
SF6,sulfur hexafluoride,2551–62–4
SOF2,thionyl difluoride,7783–42–8
SO2,sulfur dioxide,7446–09–5
SO2Cl2,sulfuryl chloride,7791–25–5
SO2F2,sulfuryl difluoride,2699–79–8
SO2OOH−,peroxymonosulfurous acid (aqueous),
SO3,sulfur trioxide,7446–11–9
SO32−,sulfite ion,14265–45–3
SO42−,sulfate ion,14808–79–8
S2Br2,sulfur(II) bromide,71677–14–0
S2O32−,thiosulfate ion,14383–50–7
S2O72−,disulfate ion,16057–15–1
SbBr3,antimony(III) bromide,7789–61–9
SbCl3,antimony(III) chloride,10025–91–9
SbCl5,antimony(V) chloride,7647–18–9
SbI3,antimony(III) iodide,7790–44–5
SbPO4,antimony(III) phosphate,
Sb2OS2,antimony oxysulfide kermesite,12196–78–0
Sb2O3,antimony(III) oxide,1309–64–4
Sb2O5,antimony(V) oxide,1314–60–9
Sb2S3,antimony(III) sulfide,1345–04–6
Sb2Se3,antimony(III) selenide,1315–05–5
Sb2Se5,antimony(V) selenide,
Sb2Te3,antimony(III) telluride,
Sc2O3,scandium oxide scandia,12060–08–1
SeBr4,selenium(IV) bromide,7789–65–3
SeCl,selenium(I) chloride,
SeCl4,selenium(IV) chloride,10026–03–6
SeOCl2,selenium(IV) oxychloride,7791–23–3
SeOF2,selenyl difluoride,7783–43–9
SeO2,selenium(IV) oxide,7446–08–4
SeO42−,selenate ion,14124–68–6
SeTe,selenium(IV) telluride,12067–42–4
SiBr4,silicon(IV) bromide,7789–66–4
SiC,silicon carbide,409–21–2
SiCl4,silicon(IV) chloride,10026–04–7
SiH4,silane,7803–62–5
SiI4,silicon(IV) iodide,13465–84–4
SiO2,silicon(IV) dioxide silica quartz,7631–86–9
SiO44−,silicate ion,17181–37–2
Si2O76−,disilicate ion,
Si3N4,silicon nitride,12033–89–5
Si6O1812−,cyclosilicate ion,
SnBrCl3,tin(IV) bromotrichloride,
SnBr2,tin(II) bromide,10031–24–0
SnBr2Cl2,tin(IV) dibromodichloride,
SnBr3Cl,tin(IV) tribromochloride,14779–73–8
SnBr4,tin(IV) bromide,7789–67–5
Sn(CH3COO)2,tin(II) acetate,
Sn(CH3COO)4,tin(IV) acetate,
SnCl2,tin(II) chloride,7772–99–8
SnCl2I2,tin(IV) dichlorodiiodide,
SnCl4,tin(IV) chloride,7646–78–8
Sn(CrO4)2,tin(IV) chromate,10101–75–4
SnI4,tin(IV) iodide,7790–47–8
Sn(OH)2,tin(II) hydroxide,
Sn(OH)4,tin(IV) hydroxide,
SnO,tin(II) oxide,
SnO2,tin(IV) oxide,18282–10–5
SnO32−,stannate ion,
SnS,tin(II) sulfide,1314–95–0
SnS2,tin(IV) sulfide,1315–01–1
Sn(SO4)2·2H2O,tin(IV) sulfate dihydrate,
SnSe,tin(II) selenide,1315–06–6
SnSe2,tin(IV) selenide,20770–09–6
SnTe,tin(II) telluride,12040–02–7
SnTe4,tin(IV) telluride,
Sn(VO3)2,tin(II) metavanadate,
Sn3Sb4,tin(IV) antimonide,
SrBr2,strontium bromide,10476–81–0
SrBr2·6H2O,strontium bromide hexahydrate,7789–53–9
SrCO3,strontium carbonate,1633–05–2
SrCl2,strontium chloride,10476–85–4
Sr(ClO)2,strontium hypochlorite,
Sr(ClO2)2,strontium chlorite,
Sr(ClO3)2,strontium chlorate,
Sr(ClO4)2,strontium perchlorate,
SrC2O4,strontium oxalate,814–95–9
SrF2,strontium fluoride,7783–48–4
SrHfO3,strontium hafnate,
Sr(HS)2,strontium hydrosulfide,
SrI2,strontium iodide,10476–86–5
SrI2·6H2O,strontium iodide hexahydrate,7790–40–1
Sr(IO)2,strontium hypoiodite,
Sr(IO2)2,strontium iodite,
Sr(IO3)2,strontium iodate,
Sr(IO4)2,strontium periodate,
Sr(MnO4)2,strontium permanganate,
SrMoO4,strontium orthomolybdate,13470–04–7
Sr(NbO3)2,strontium metaniobate,
SrO,strontium oxide,1314–11–0
Sr(OH)2,strontium hydroxide,
Sr2RuO4,strontium ruthenate,
SrS,strontium sulfide,1314–96–1
SrSeO3,strontium selenite,14590–38–6
SrSeO4,strontium selenate,7446–21–1
SrTeO3,strontium tellurite,15851–40–8
SrTeO4,strontium tellurate,15852–10–5
SrTiO3,strontium metatitanate,
UBr2,uranium dibromide,13775–13–8
UBr3,uranium tribromide,13470–19–4
UBr5,uranium pentabromide,13775–16–1
UC2,uranium carbide,12070–09–6
UCl3,uranium trichloride,10025–93–1
UCl4,uranium tetrachloride,10026–10–5
UF4,uranium(IV) fluoride,10049–14–6
UF6,uranium(VI) fluoride,7783–81–5
UI3,uranium(III) iodide,
UN,uranium nitride,12033–83–9
UO2,uranium dioxide,1344–57–6
UO2(CH3COO)2,uranyl acetate,541–09–3
UO2Cl2,uranyl chloride,7791–26–6
UO2(HCOO)2,uranyl formate,16984–59–1
UO2(NO3)2,uranyl nitrate,10102–06–4
UO2SO4,uranyl sulfate,
UO3,uranium trioxide,1344–58–7
U3O8,triuranium octoxide,1344–59–8
USe2,uranium diselenide,12138–21–5
US2,uranium sulfide,12039–14–4
UTe2,uranium ditelluride,12138–37–3
VBr2,vanadium(II) bromide,
VBr3,vanadium(III) bromide,13470–26–3
VCl2,vanadium(II) chloride,10580–52–6
VCl3,vanadium(III) chloride,7718–98–1
VI3,vanadium(III) iodide,15513-94-7
VN,vanadium nitride,24646–85–3
VOC2O4,vanadyl oxalate,
VOSO4,vanadium oxysulfate,27774–13–6
V2O3,vanadium(III) oxide,1314–34–7
V2O5,vanadium pentoxide,1314–62–1
V2O74−,divanadate ion pyrovanadate ion,
,,
WBr2,tungsten(II) bromide,13470–10–5
WBr3,tungsten(III) bromide,15163–24–3
WBr4,tungsten(IV) bromide,14055–81–3
WBr5,tungsten(V) bromide,13470–11–6
WBr6,tungsten(VI) bromide,13701–86–5
W(CO)6,tungsten(VI) carbonyl,14040–11–0
WCl2,tungsten(II) chloride,13470–12–7
WCl3,tungsten(III) chloride,20193–56–0
WCl4,tungsten(IV) chloride,13470–13–8
WCl5,tungsten(V) chloride,13470–14–9
WCl6,tungsten(VI) chloride,13283–01–7
WF4,tungsten(IV) fluoride,13766–47–7
WF5,tungsten(V) fluoride,19357–83–6
WF6,tungsten(VI) fluoride,7783–82–6
WI2,tungsten(II) iodide,13470–17–2
WI4,tungsten(IV) iodide,14055–84–6
